id	baseline	plaatje 1	plaatje 2	plaatje 3	plaatje 4	plaatje 5	plaatje 6	plaatje 7	segment 1	segment 2	segment 3	segment 4	segment 5	segment 6	segment 7	duration 1	duration 2	duration 3	duration 4	duration 5	duration 6	duration 7	trigger 1	trigger 2	trigger 3	trigger 4	trigger 5	trigger 6	trigger 7
15	forestroad.jpg	malep.png							Marco is een type P persoonlijkheid	…	Marco	is 	woest	als een half uur later blijkt dat	ze zijn bestelling compleet vergeten zijn	3500	1000	750	750	1000	2500	2500	104	15	106	107	109	110	112
22	forestroad.jpg	femalep.png							Marjolein is een type P persoonlijkheid	…	Marjolein	voelt	blijdschap	als de buschauffeur haar ziet	en even rustig op haar wacht zodat ze nog mee kan	3500	1000	750	750	1000	2500	2500	105	22	106	107	108	110	111
23	forestroad.jpg	femaleo.png							Sandra is een type O persoonlijkheid	…	Sandra	is 	woedend	als ze de gegevens doorleest	en haar aandelen niks meer waard blijken te zijn	3500	1000	750	750	1000	2500	2500	105	23	106	107	108	110	111
14	forestroad.jpg	maleo.png							Ruben is een type O persoonlijkheid	…	Ruben	wordt	vrolijk	wanneer de man voor hem	hem vriendelijk helpt overeind te blijven	3500	1000	750	750	1000	2500	2500	104	14	106	107	109	110	112
30	forestroad.jpg	malep.png							Marco is een type P persoonlijkheid	…	Marco	is 	woest	als een half uur later blijkt dat	ze zijn bestelling compleet vergeten zijn	3500	1000	750	750	1000	2500	2500	105	30	106	107	108	110	111
62	forestroad.jpg	femalep.png							Marjolein is een type P persoonlijkheid	…	Marjolein	voelt	blijdschap	als de buschauffeur haar ziet	en even rustig op haar wacht zodat ze nog mee kan	3500	1000	750	750	1000	2500	2500	105	62	106	107	109	110	112
63	forestroad.jpg	femaleo.png							Sandra is een type O persoonlijkheid	…	Sandra	is 	woedend	als ze de gegevens doorleest	en haar aandelen niks meer waard blijken te zijn	3500	1000	750	750	1000	2500	2500	105	63	106	107	109	110	112
5	forestroad.jpg	maleo.png							Ruben is een type O persoonlijkheid	…	Ruben	wordt	vrolijk	wanneer de man voor hem	hem vriendelijk helpt overeind te blijven	3500	1000	750	750	1000	2500	2500	104	5	106	107	109	110	112
50	forestroad.jpg	malep.png							Marco is een type P persoonlijkheid	…	Marco	is 	woest	als een half uur later blijkt dat	ze zijn bestelling compleet vergeten zijn	3500	1000	750	750	1000	2500	2500	105	50	106	107	109	110	112
36	forestroad.jpg	femalep.png							Marjolein is een type P persoonlijkheid	…	Marjolein	voelt	blijdschap	als de buschauffeur haar ziet	en even rustig op haar wacht zodat ze nog mee kan	3500	1000	750	750	1000	2500	2500	104	36	106	107	108	110	111
3	forestroad.jpg	femaleo.png							Sandra is een type O persoonlijkheid	…	Sandra	is 	woedend	als ze de gegevens doorleest	en haar aandelen niks meer waard blijken te zijn	3500	1000	750	750	1000	2500	2500	104	3	106	107	109	110	112
17	forestroad.jpg	maleo.png							Ruben is een type O persoonlijkheid	…	Ruben	wordt	vrolijk	wanneer de man voor hem	hem vriendelijk helpt overeind te blijven	3500	1000	750	750	1000	2500	2500	105	17	106	107	108	110	111
7	forestroad.jpg	malep.png							Marco is een type P persoonlijkheid	…	Marco	is 	woest	als een half uur later blijkt dat	ze zijn bestelling compleet vergeten zijn	3500	1000	750	750	1000	2500	2500	104	7	106	107	109	110	112
44	forestroad.jpg	femalep.png							Marjolein is een type P persoonlijkheid	…	Marjolein	voelt	blijdschap	als de buschauffeur haar ziet	en even rustig op haar wacht zodat ze nog mee kan	3500	1000	750	750	1000	2500	2500	104	44	106	107	108	110	111
9	forestroad.jpg	femaleo.png							Sandra is een type O persoonlijkheid	…	Sandra	is 	woedend	als ze de gegevens doorleest	en haar aandelen niks meer waard blijken te zijn	3500	1000	750	750	1000	2500	2500	104	9	106	107	109	110	112
48	forestroad.jpg	maleo.png							Ruben is een type O persoonlijkheid	…	Ruben	wordt	vrolijk	wanneer de man voor hem	hem vriendelijk helpt overeind te blijven	3500	1000	750	750	1000	2500	2500	104	48	106	107	108	110	111
46	forestroad.jpg	malep.png							Marco is een type P persoonlijkheid	…	Marco	is 	woest	als een half uur later blijkt dat	ze zijn bestelling compleet vergeten zijn	3500	1000	750	750	1000	2500	2500	104	46	106	107	108	110	111
27	forestroad.jpg	femalep.png							Marjolein is een type P persoonlijkheid	…	Marjolein	voelt	blijdschap	als de buschauffeur haar ziet	en even rustig op haar wacht zodat ze nog mee kan	3500	1000	750	750	1000	2500	2500	105	27	106	107	108	110	111
41	forestroad.jpg	femaleo.png							Sandra is een type O persoonlijkheid	…	Sandra	is 	woedend	als ze de gegevens doorleest	en haar aandelen niks meer waard blijken te zijn	3500	1000	750	750	1000	2500	2500	104	41	106	107	108	110	111
61	forestroad.jpg	maleo.png							Ruben is een type O persoonlijkheid	…	Ruben	wordt	vrolijk	wanneer de man voor hem	hem vriendelijk helpt overeind te blijven	3500	1000	750	750	1000	2500	2500	105	61	106	107	109	110	112
6	forestroad.jpg	malep.png							Marco is een type P persoonlijkheid	…	Marco	is 	woest	als een half uur later blijkt dat	ze zijn bestelling compleet vergeten zijn	3500	1000	750	750	1000	2500	2500	104	6	106	107	109	110	112
40	forestroad.jpg	femalep.png							Marjolein is een type P persoonlijkheid	…	Marjolein	voelt	blijdschap	als de buschauffeur haar ziet	en even rustig op haar wacht zodat ze nog mee kan	3500	1000	750	750	1000	2500	2500	104	40	106	107	108	110	111
56	forestroad.jpg	femaleo.png							Sandra is een type O persoonlijkheid	…	Sandra	is 	woedend	als ze de gegevens doorleest	en haar aandelen niks meer waard blijken te zijn	3500	1000	750	750	1000	2500	2500	105	56	106	107	109	110	112
26	forestroad.jpg	maleo.png							Ruben is een type O persoonlijkheid	…	Ruben	wordt	vrolijk	wanneer de man voor hem	hem vriendelijk helpt overeind te blijven	3500	1000	750	750	1000	2500	2500	105	26	106	107	108	110	111
53	forestroad.jpg	malep.png							Marco is een type P persoonlijkheid	…	Marco	is 	woest	als een half uur later blijkt dat	ze zijn bestelling compleet vergeten zijn	3500	1000	750	750	1000	2500	2500	105	53	106	107	109	110	112
60	forestroad.jpg	femalep.png							Marjolein is een type P persoonlijkheid	…	Marjolein	voelt	blijdschap	als de buschauffeur haar ziet	en even rustig op haar wacht zodat ze nog mee kan	3500	1000	750	750	1000	2500	2500	105	60	106	107	109	110	112
